# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-07-16_09-24-54.529; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:GETOUTINFO_RS422\\r\\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:0; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-07-16 09:24:54.554454; 1721089494554.454;  -0.059
2024-07-16 09:24:54.555454; 1721089494555.454;  -0.059
2024-07-16 09:24:54.556454; 1721089494556.454;  -0.059
2024-07-16 09:24:54.557454; 1721089494557.454;  -0.059
2024-07-16 09:24:54.558454; 1721089494558.455;  -0.056
2024-07-16 09:24:54.559455; 1721089494559.455;  -0.056
2024-07-16 09:24:54.560455; 1721089494560.455;  -0.053
2024-07-16 09:24:54.561455; 1721089494561.455;  -0.053
2024-07-16 09:24:54.562456; 1721089494562.456;  -0.053
2024-07-16 09:24:54.563456; 1721089494563.456;  -0.053
2024-07-16 09:24:54.564456; 1721089494564.456;  -0.050
2024-07-16 09:24:54.565456; 1721089494565.456;  -0.050
2024-07-16 09:24:54.566457; 1721089494566.457;  -0.050
2024-07-16 09:24:54.567457; 1721089494567.457;  -0.050
2024-07-16 09:24:54.568457; 1721089494568.457;  -0.050
2024-07-16 09:24:54.569457; 1721089494569.457;  -0.047
2024-07-16 09:24:54.570457; 1721089494570.458;  -0.047
2024-07-16 09:24:54.571458; 1721089494571.458;  -0.047
2024-07-16 09:24:54.572458; 1721089494572.458;  -0.044
2024-07-16 09:24:54.573458; 1721089494573.458;  -0.044
2024-07-16 09:24:54.574458; 1721089494574.458;  -0.044
2024-07-16 09:24:54.575458; 1721089494575.458;  -0.044
2024-07-16 09:24:54.576458; 1721089494576.458;  -0.040
2024-07-16 09:24:54.577458; 1721089494577.458;  -0.040
2024-07-16 09:24:54.578458; 1721089494578.458;  -0.040
2024-07-16 09:24:54.579458; 1721089494579.458;  -0.037
2024-07-16 09:24:54.580458; 1721089494580.458;  -0.037
2024-07-16 09:24:54.581458; 1721089494581.458;  -0.037
2024-07-16 09:24:54.582458; 1721089494582.458;  -0.037
2024-07-16 09:24:54.583459; 1721089494583.459;  -0.037
2024-07-16 09:24:54.584459; 1721089494584.459;  -0.037
2024-07-16 09:24:54.585459; 1721089494585.459;  -0.037
2024-07-16 09:24:54.586459; 1721089494586.459;  -0.034
2024-07-16 09:24:54.587460; 1721089494587.460;  -0.034
2024-07-16 09:24:54.588460; 1721089494588.460;  -0.034
2024-07-16 09:24:54.589460; 1721089494589.460;  -0.031
2024-07-16 09:24:54.590461; 1721089494590.460;  -0.031
2024-07-16 09:24:54.591461; 1721089494591.461;  -0.031
2024-07-16 09:24:54.592461; 1721089494592.461;  -0.031
2024-07-16 09:24:54.593461; 1721089494593.461;  -0.031
2024-07-16 09:24:54.594461; 1721089494594.461;  -0.028
2024-07-16 09:24:54.595462; 1721089494595.462;  -0.028
2024-07-16 09:24:54.596462; 1721089494596.462;  -0.028
2024-07-16 09:24:54.597462; 1721089494597.462;  -0.028
2024-07-16 09:24:54.598462; 1721089494598.462;  -0.028
2024-07-16 09:24:54.599463; 1721089494599.463;  -0.028
2024-07-16 09:24:54.600463; 1721089494600.463;  -0.028
2024-07-16 09:24:54.601463; 1721089494601.463;  -0.028
2024-07-16 09:24:54.602463; 1721089494602.463;  -0.025
2024-07-16 09:24:54.603464; 1721089494603.464;  -0.025
2024-07-16 09:24:54.604464; 1721089494604.464;  -0.025
2024-07-16 09:24:54.605464; 1721089494605.464;  -0.025
2024-07-16 09:24:54.606464; 1721089494606.464;  -0.025
2024-07-16 09:24:54.607465; 1721089494607.465;  -0.025
2024-07-16 09:24:54.608465; 1721089494608.465;  -0.025
2024-07-16 09:24:54.609465; 1721089494609.465;  -0.025
2024-07-16 09:24:54.610465; 1721089494610.465;  -0.025
2024-07-16 09:24:54.611466; 1721089494611.466;  -0.025
2024-07-16 09:24:54.612466; 1721089494612.466;  -0.025
2024-07-16 09:24:54.613466; 1721089494613.466;  -0.025
2024-07-16 09:24:54.614466; 1721089494614.466;  -0.025
2024-07-16 09:24:54.615467; 1721089494615.467;  -0.025
2024-07-16 09:24:54.616467; 1721089494616.467;  -0.025
2024-07-16 09:24:54.617467; 1721089494617.467;  -0.025
2024-07-16 09:24:54.618467; 1721089494618.467;  -0.025
2024-07-16 09:24:54.619467; 1721089494619.468;  -0.025
2024-07-16 09:24:54.620468; 1721089494620.468;  -0.025
2024-07-16 09:24:54.621468; 1721089494621.468;  -0.025
2024-07-16 09:24:54.622468; 1721089494622.468;  -0.028
2024-07-16 09:24:54.623468; 1721089494623.469;  -0.028
2024-07-16 09:24:54.624469; 1721089494624.469;  -0.028
2024-07-16 09:24:54.625469; 1721089494625.469;  -0.028
2024-07-16 09:24:54.626469; 1721089494626.469;  -0.028
2024-07-16 09:24:54.627470; 1721089494627.469;  -0.028
2024-07-16 09:24:54.628470; 1721089494628.470;  -0.028
2024-07-16 09:24:54.629470; 1721089494629.470;  -0.028
2024-07-16 09:24:54.630470; 1721089494630.470;  -0.031
2024-07-16 09:24:54.631470; 1721089494631.470;  -0.031
2024-07-16 09:24:54.632471; 1721089494632.471;  -0.031
2024-07-16 09:24:54.633471; 1721089494633.471;  -0.031
2024-07-16 09:24:54.634471; 1721089494634.471;  -0.031
2024-07-16 09:24:54.635471; 1721089494635.471;  -0.031
2024-07-16 09:24:54.636472; 1721089494636.472;  -0.034
2024-07-16 09:24:54.637472; 1721089494637.472;  -0.034
2024-07-16 09:24:54.638472; 1721089494638.472;  -0.037
2024-07-16 09:24:54.639472; 1721089494639.472;  -0.037
2024-07-16 09:24:54.640473; 1721089494640.473;  -0.037
2024-07-16 09:24:54.641473; 1721089494641.473;  -0.037
2024-07-16 09:24:54.642473; 1721089494642.473;  -0.037
2024-07-16 09:24:54.643473; 1721089494643.473;  -0.037
2024-07-16 09:24:54.644474; 1721089494644.474;  -0.040
2024-07-16 09:24:54.645474; 1721089494645.474;  -0.040
2024-07-16 09:24:54.646474; 1721089494646.474;  -0.040
2024-07-16 09:24:54.647474; 1721089494647.474;  -0.040
2024-07-16 09:24:54.648475; 1721089494648.475;  -0.044
2024-07-16 09:24:54.649475; 1721089494649.475;  -0.044
2024-07-16 09:24:54.650475; 1721089494650.475;  -0.044
2024-07-16 09:24:54.651475; 1721089494651.475;  -0.047
2024-07-16 09:24:54.652476; 1721089494652.476;  -0.047
2024-07-16 09:24:54.653476; 1721089494653.476;  -0.047
2024-07-16 09:24:54.654476; 1721089494654.476;  -0.047
2024-07-16 09:24:54.655476; 1721089494655.476;  -0.050
2024-07-16 09:24:54.656476; 1721089494656.477;  -0.050
2024-07-16 09:24:54.657477; 1721089494657.477;  -0.050
2024-07-16 09:24:54.658477; 1721089494658.477;  -0.050
2024-07-16 09:24:54.659477; 1721089494659.477;  -0.053
2024-07-16 09:24:54.660478; 1721089494660.478;  -0.053
2024-07-16 09:24:54.661478; 1721089494661.478;  -0.056
2024-07-16 09:24:54.662478; 1721089494662.478;  -0.056
2024-07-16 09:24:54.663478; 1721089494663.478;  -0.056
2024-07-16 09:24:54.664479; 1721089494664.479;  -0.056
2024-07-16 09:24:54.665479; 1721089494665.479;  -0.056
2024-07-16 09:24:54.666479; 1721089494666.479;  -0.059
2024-07-16 09:24:54.667479; 1721089494667.479;  -0.059
2024-07-16 09:24:54.668479; 1721089494668.479;  -0.059
2024-07-16 09:24:54.669480; 1721089494669.480;  -0.062
2024-07-16 09:24:54.670480; 1721089494670.480;  -0.062
2024-07-16 09:24:54.671480; 1721089494671.480;  -0.062
2024-07-16 09:24:54.672481; 1721089494672.480;  -0.062
2024-07-16 09:24:54.673481; 1721089494673.481;  -0.065
2024-07-16 09:24:54.674481; 1721089494674.481;  -0.065
2024-07-16 09:24:54.675481; 1721089494675.481;  -0.065
2024-07-16 09:24:54.676481; 1721089494676.481;  -0.068
2024-07-16 09:24:54.677482; 1721089494677.482;  -0.068
2024-07-16 09:24:54.678482; 1721089494678.482;  -0.068
2024-07-16 09:24:54.679482; 1721089494679.482;  -0.068
2024-07-16 09:24:54.680482; 1721089494680.482;  -0.072
2024-07-16 09:24:54.681483; 1721089494681.483;  -0.072
2024-07-16 09:24:54.682483; 1721089494682.483;  -0.072
2024-07-16 09:24:54.683483; 1721089494683.483;  -0.072
2024-07-16 09:24:54.684484; 1721089494684.483;  -0.072
2024-07-16 09:24:54.685484; 1721089494685.484;  -0.075
2024-07-16 09:24:54.686484; 1721089494686.484;  -0.075
2024-07-16 09:24:54.687484; 1721089494687.484;  -0.075
2024-07-16 09:24:54.688484; 1721089494688.484;  -0.075
2024-07-16 09:24:54.689485; 1721089494689.485;  -0.078
2024-07-16 09:24:54.690485; 1721089494690.485;  -0.078
2024-07-16 09:24:54.691485; 1721089494691.485;  -0.078
2024-07-16 09:24:54.692485; 1721089494692.485;  -0.078
2024-07-16 09:24:54.693485; 1721089494693.486;  -0.078
2024-07-16 09:24:54.694486; 1721089494694.486;  -0.081
2024-07-16 09:24:54.695486; 1721089494695.486;  -0.081
2024-07-16 09:24:54.696486; 1721089494696.486;  -0.081
2024-07-16 09:24:54.697487; 1721089494697.487;  -0.081
2024-07-16 09:24:54.698487; 1721089494698.487;  -0.081
2024-07-16 09:24:54.699487; 1721089494699.487;  -0.084
2024-07-16 09:24:54.700487; 1721089494700.487;  -0.084
2024-07-16 09:24:54.701488; 1721089494701.488;  -0.084
2024-07-16 09:24:54.702488; 1721089494702.488;  -0.084
2024-07-16 09:24:54.703488; 1721089494703.488;  -0.084
2024-07-16 09:24:54.704488; 1721089494704.488;  -0.084
2024-07-16 09:24:54.705488; 1721089494705.489;  -0.084
2024-07-16 09:24:54.706489; 1721089494706.489;  -0.084
2024-07-16 09:24:54.707489; 1721089494707.489;  -0.084
2024-07-16 09:24:54.708489; 1721089494708.489;  -0.084
2024-07-16 09:24:54.709490; 1721089494709.490;  -0.084
2024-07-16 09:24:54.710490; 1721089494710.490;  -0.084
2024-07-16 09:24:54.711490; 1721089494711.490;  -0.084
2024-07-16 09:24:54.712490; 1721089494712.490;  -0.084
2024-07-16 09:24:54.713490; 1721089494713.490;  -0.084
2024-07-16 09:24:54.714491; 1721089494714.491;  -0.084
2024-07-16 09:24:54.715491; 1721089494715.491;  -0.084
2024-07-16 09:24:54.716491; 1721089494716.491;  -0.087
2024-07-16 09:24:54.717491; 1721089494717.491;  -0.087
2024-07-16 09:24:54.718492; 1721089494718.492;  -0.087
2024-07-16 09:24:54.719492; 1721089494719.492;  -0.087
2024-07-16 09:24:54.720492; 1721089494720.492;  -0.087
2024-07-16 09:24:54.721493; 1721089494721.492;  -0.087
2024-07-16 09:24:54.722493; 1721089494722.493;  -0.087
2024-07-16 09:24:54.723493; 1721089494723.493;  -0.087
2024-07-16 09:24:54.724493; 1721089494724.493;  -0.087
2024-07-16 09:24:54.725493; 1721089494725.493;  -0.087
2024-07-16 09:24:54.726494; 1721089494726.494;  -0.087
2024-07-16 09:24:54.727494; 1721089494727.494;  -0.084
2024-07-16 09:24:54.728494; 1721089494728.494;  -0.084
2024-07-16 09:24:54.729494; 1721089494729.494;  -0.084
2024-07-16 09:24:54.730495; 1721089494730.495;  -0.084
2024-07-16 09:24:54.731495; 1721089494731.495;  -0.084
2024-07-16 09:24:54.732495; 1721089494732.495;  -0.084
2024-07-16 09:24:54.733495; 1721089494733.495;  -0.084
2024-07-16 09:24:54.734496; 1721089494734.496;  -0.084
2024-07-16 09:24:54.735496; 1721089494735.496;  -0.084
2024-07-16 09:24:54.736496; 1721089494736.496;  -0.084
2024-07-16 09:24:54.737496; 1721089494737.496;  -0.081
2024-07-16 09:24:54.738497; 1721089494738.497;  -0.081
2024-07-16 09:24:54.739497; 1721089494739.497;  -0.081
2024-07-16 09:24:54.740497; 1721089494740.497;  -0.081
2024-07-16 09:24:54.741497; 1721089494741.497;  -0.078
2024-07-16 09:24:54.742498; 1721089494742.498;  -0.078
2024-07-16 09:24:54.743498; 1721089494743.498;  -0.078
2024-07-16 09:24:54.744498; 1721089494744.498;  -0.075
2024-07-16 09:24:54.745498; 1721089494745.498;  -0.075
2024-07-16 09:24:54.746499; 1721089494746.499;  -0.075
2024-07-16 09:24:54.747499; 1721089494747.499;  -0.075
2024-07-16 09:24:54.748499; 1721089494748.499;  -0.072
2024-07-16 09:24:54.749499; 1721089494749.499;  -0.072
2024-07-16 09:24:54.750499; 1721089494750.500;  -0.072
2024-07-16 09:24:54.751500; 1721089494751.500;  -0.072
2024-07-16 09:24:54.752500; 1721089494752.500;  -0.072
2024-07-16 09:24:54.753500; 1721089494753.500;  -0.068
2024-07-16 09:24:54.754500; 1721089494754.500;  -0.068
2024-07-16 09:24:54.755501; 1721089494755.501;  -0.068
2024-07-16 09:24:54.756501; 1721089494756.501;  -0.065
2024-07-16 09:24:54.757501; 1721089494757.501;  -0.065
2024-07-16 09:24:54.758502; 1721089494758.501;  -0.065
2024-07-16 09:24:54.759502; 1721089494759.502;  -0.065
2024-07-16 09:24:54.760502; 1721089494760.502;  -0.062
2024-07-16 09:24:54.761502; 1721089494761.502;  -0.062
2024-07-16 09:24:54.762502; 1721089494762.502;  -0.062
2024-07-16 09:24:54.763503; 1721089494763.503;  -0.059
2024-07-16 09:24:54.764503; 1721089494764.503;  -0.059
2024-07-16 09:24:54.765503; 1721089494765.503;  -0.059
2024-07-16 09:24:54.766503; 1721089494766.503;  -0.059
2024-07-16 09:24:54.767504; 1721089494767.504;  -0.056
2024-07-16 09:24:54.768504; 1721089494768.504;  -0.056
2024-07-16 09:24:54.769504; 1721089494769.504;  -0.056
2024-07-16 09:24:54.770504; 1721089494770.504;  -0.056
2024-07-16 09:24:54.771505; 1721089494771.505;  -0.053
2024-07-16 09:24:54.772505; 1721089494772.505;  -0.053
2024-07-16 09:24:54.773505; 1721089494773.505;  -0.053
2024-07-16 09:24:54.774505; 1721089494774.505;  -0.050
2024-07-16 09:24:54.775506; 1721089494775.506;  -0.050
2024-07-16 09:24:54.776506; 1721089494776.506;  -0.050
2024-07-16 09:24:54.777506; 1721089494777.506;  -0.050
2024-07-16 09:24:54.778506; 1721089494778.506;  -0.047
2024-07-16 09:24:54.779507; 1721089494779.507;  -0.047
2024-07-16 09:24:54.780507; 1721089494780.507;  -0.047
2024-07-16 09:24:54.781507; 1721089494781.507;  -0.047
2024-07-16 09:24:54.782507; 1721089494782.507;  -0.044
2024-07-16 09:24:54.783508; 1721089494783.508;  -0.044
2024-07-16 09:24:54.784508; 1721089494784.508;  -0.044
2024-07-16 09:24:54.785508; 1721089494785.508;  -0.040
2024-07-16 09:24:54.786508; 1721089494786.508;  -0.040
2024-07-16 09:24:54.787508; 1721089494787.509;  -0.040
2024-07-16 09:24:54.788509; 1721089494788.509;  -0.037
2024-07-16 09:24:54.789509; 1721089494789.509;  -0.037
2024-07-16 09:24:54.790509; 1721089494790.509;  -0.037
2024-07-16 09:24:54.791510; 1721089494791.510;  -0.037
2024-07-16 09:24:54.792510; 1721089494792.510;  -0.037
2024-07-16 09:24:54.793510; 1721089494793.510;  -0.037
2024-07-16 09:24:54.794510; 1721089494794.510;  -0.037
2024-07-16 09:24:54.795511; 1721089494795.510;  -0.034
2024-07-16 09:24:54.796511; 1721089494796.511;  -0.034
2024-07-16 09:24:54.797511; 1721089494797.511;  -0.034
2024-07-16 09:24:54.798511; 1721089494798.511;  -0.034
2024-07-16 09:24:54.799511; 1721089494799.511;  -0.031
2024-07-16 09:24:54.800512; 1721089494800.512;  -0.031
2024-07-16 09:24:54.801512; 1721089494801.512;  -0.031
2024-07-16 09:24:54.802512; 1721089494802.512;  -0.031
2024-07-16 09:24:54.803513; 1721089494803.512;  -0.031
2024-07-16 09:24:54.804513; 1721089494804.513;  -0.028
2024-07-16 09:24:54.805513; 1721089494805.513;  -0.028
2024-07-16 09:24:54.806513; 1721089494806.513;  -0.028
2024-07-16 09:24:54.807513; 1721089494807.513;  -0.028
2024-07-16 09:24:54.808514; 1721089494808.514;  -0.025
2024-07-16 09:24:54.809514; 1721089494809.514;  -0.025
2024-07-16 09:24:54.810514; 1721089494810.514;  -0.025
2024-07-16 09:24:54.811514; 1721089494811.514;  -0.025
2024-07-16 09:24:54.812514; 1721089494812.514;  -0.025
2024-07-16 09:24:54.813514; 1721089494813.514;  -0.025
2024-07-16 09:24:54.814514; 1721089494814.514;  -0.025
2024-07-16 09:24:54.815514; 1721089494815.514;  -0.025
2024-07-16 09:24:54.816514; 1721089494816.514;  -0.025
2024-07-16 09:24:54.817514; 1721089494817.514;  -0.025
2024-07-16 09:24:54.818514; 1721089494818.514;  -0.025
2024-07-16 09:24:54.819514; 1721089494819.514;  -0.025
2024-07-16 09:24:54.820515; 1721089494820.515;  -0.025
2024-07-16 09:24:54.821515; 1721089494821.515;  -0.025
2024-07-16 09:24:54.822515; 1721089494822.515;  -0.025
2024-07-16 09:24:54.823515; 1721089494823.515;  -0.025
2024-07-16 09:24:54.824516; 1721089494824.516;  -0.025
2024-07-16 09:24:54.825516; 1721089494825.516;  -0.025
2024-07-16 09:24:54.826516; 1721089494826.516;  -0.025
2024-07-16 09:24:54.827516; 1721089494827.516;  -0.025
2024-07-16 09:24:54.828517; 1721089494828.517;  -0.025
2024-07-16 09:24:54.829517; 1721089494829.517;  -0.025
2024-07-16 09:24:54.830517; 1721089494830.517;  -0.025
2024-07-16 09:24:54.831517; 1721089494831.517;  -0.025
2024-07-16 09:24:54.832518; 1721089494832.518;  -0.025
2024-07-16 09:24:54.833518; 1721089494833.518;  -0.025
2024-07-16 09:24:54.834518; 1721089494834.518;  -0.028
2024-07-16 09:24:54.835518; 1721089494835.518;  -0.028
2024-07-16 09:24:54.836519; 1721089494836.519;  -0.028
2024-07-16 09:24:54.837519; 1721089494837.519;  -0.028
2024-07-16 09:24:54.838519; 1721089494838.519;  -0.028
2024-07-16 09:24:54.839519; 1721089494839.519;  -0.028
2024-07-16 09:24:54.840519; 1721089494840.520;  -0.028
2024-07-16 09:24:54.841520; 1721089494841.520;  -0.031
2024-07-16 09:24:54.842520; 1721089494842.520;  -0.031
2024-07-16 09:24:54.843520; 1721089494843.520;  -0.031
2024-07-16 09:24:54.844521; 1721089494844.521;  -0.031
2024-07-16 09:24:54.845521; 1721089494845.521;  -0.034
2024-07-16 09:24:54.846521; 1721089494846.521;  -0.034
2024-07-16 09:24:54.847521; 1721089494847.521;  -0.034
2024-07-16 09:24:54.848521; 1721089494848.521;  -0.034
2024-07-16 09:24:54.849522; 1721089494849.522;  -0.034
2024-07-16 09:24:54.850522; 1721089494850.522;  -0.037
2024-07-16 09:24:54.851522; 1721089494851.522;  -0.037
2024-07-16 09:24:54.852522; 1721089494852.522;  -0.037
2024-07-16 09:24:54.853523; 1721089494853.522;  -0.037
2024-07-16 09:24:54.854522; 1721089494854.522;  -0.040
2024-07-16 09:24:54.855522; 1721089494855.522;  -0.040
2024-07-16 09:24:54.856523; 1721089494856.522;  -0.040
2024-07-16 09:24:54.857522; 1721089494857.522;  -0.040
2024-07-16 09:24:54.858522; 1721089494858.522;  -0.040
2024-07-16 09:24:54.859523; 1721089494859.522;  -0.044
2024-07-16 09:24:54.860522; 1721089494860.522;  -0.044
2024-07-16 09:24:54.861522; 1721089494861.522;  -0.044
2024-07-16 09:24:54.862523; 1721089494862.523;  -0.044
2024-07-16 09:24:54.863523; 1721089494863.523;  -0.047
2024-07-16 09:24:54.864523; 1721089494864.523;  -0.047
2024-07-16 09:24:54.865523; 1721089494865.523;  -0.047
2024-07-16 09:24:54.866524; 1721089494866.524;  -0.050
2024-07-16 09:24:54.867524; 1721089494867.524;  -0.050
2024-07-16 09:24:54.868524; 1721089494868.524;  -0.050
2024-07-16 09:24:54.869524; 1721089494869.524;  -0.050
2024-07-16 09:24:54.870524; 1721089494870.524;  -0.050
2024-07-16 09:24:54.871524; 1721089494871.524;  -0.053
2024-07-16 09:24:54.872524; 1721089494872.524;  -0.053
2024-07-16 09:24:54.873524; 1721089494873.524;  -0.053
2024-07-16 09:24:54.874524; 1721089494874.524;  -0.056
2024-07-16 09:24:54.875524; 1721089494875.524;  -0.056
2024-07-16 09:24:54.876524; 1721089494876.524;  -0.056
2024-07-16 09:24:54.877524; 1721089494877.524;  -0.056
2024-07-16 09:24:54.878525; 1721089494878.525;  -0.059
2024-07-16 09:24:54.879525; 1721089494879.525;  -0.059
2024-07-16 09:24:54.880525; 1721089494880.525;  -0.059
2024-07-16 09:24:54.881525; 1721089494881.525;  -0.062
2024-07-16 09:24:54.882526; 1721089494882.526;  -0.062
2024-07-16 09:24:54.883526; 1721089494883.526;  -0.062
2024-07-16 09:24:54.884526; 1721089494884.526;  -0.062
2024-07-16 09:24:54.885526; 1721089494885.526;  -0.065
2024-07-16 09:24:54.886527; 1721089494886.527;  -0.065
2024-07-16 09:24:54.887527; 1721089494887.527;  -0.065
2024-07-16 09:24:54.888527; 1721089494888.527;  -0.068
2024-07-16 09:24:54.889527; 1721089494889.527;  -0.068
2024-07-16 09:24:54.890527; 1721089494890.528;  -0.068
2024-07-16 09:24:54.891528; 1721089494891.528;  -0.068
2024-07-16 09:24:54.892528; 1721089494892.528;  -0.068
2024-07-16 09:24:54.893528; 1721089494893.528;  -0.072
2024-07-16 09:24:54.894529; 1721089494894.529;  -0.072
2024-07-16 09:24:54.895529; 1721089494895.529;  -0.072
2024-07-16 09:24:54.896529; 1721089494896.529;  -0.072
2024-07-16 09:24:54.897529; 1721089494897.529;  -0.072
2024-07-16 09:24:54.898530; 1721089494898.530;  -0.075
2024-07-16 09:24:54.899530; 1721089494899.530;  -0.075
2024-07-16 09:24:54.900530; 1721089494900.530;  -0.075
2024-07-16 09:24:54.901530; 1721089494901.530;  -0.078
2024-07-16 09:24:54.902530; 1721089494902.531;  -0.078
2024-07-16 09:24:54.903531; 1721089494903.531;  -0.078
2024-07-16 09:24:54.904531; 1721089494904.531;  -0.078
2024-07-16 09:24:54.905531; 1721089494905.531;  -0.078
2024-07-16 09:24:54.906532; 1721089494906.531;  -0.078
2024-07-16 09:24:54.907532; 1721089494907.532;  -0.078
2024-07-16 09:24:54.908532; 1721089494908.532;  -0.078
2024-07-16 09:24:54.909532; 1721089494909.532;  -0.081
2024-07-16 09:24:54.910532; 1721089494910.532;  -0.081
2024-07-16 09:24:54.911533; 1721089494911.533;  -0.081
2024-07-16 09:24:54.912533; 1721089494912.533;  -0.081
2024-07-16 09:24:54.913533; 1721089494913.533;  -0.081
2024-07-16 09:24:54.914533; 1721089494914.533;  -0.084
2024-07-16 09:24:54.915534; 1721089494915.534;  -0.084
2024-07-16 09:24:54.916534; 1721089494916.534;  -0.084
2024-07-16 09:24:54.917534; 1721089494917.534;  -0.084
2024-07-16 09:24:54.918534; 1721089494918.534;  -0.084
2024-07-16 09:24:54.919535; 1721089494919.535;  -0.084
2024-07-16 09:24:54.920535; 1721089494920.535;  -0.084
2024-07-16 09:24:54.921535; 1721089494921.535;  -0.084
2024-07-16 09:24:54.922535; 1721089494922.535;  -0.084
2024-07-16 09:24:54.923536; 1721089494923.536;  -0.084
2024-07-16 09:24:54.924536; 1721089494924.536;  -0.084
2024-07-16 09:24:54.925536; 1721089494925.536;  -0.084
2024-07-16 09:24:54.926536; 1721089494926.536;  -0.084
2024-07-16 09:24:54.927537; 1721089494927.537;  -0.084
2024-07-16 09:24:54.928537; 1721089494928.537;  -0.084
2024-07-16 09:24:54.929537; 1721089494929.537;  -0.084
2024-07-16 09:24:54.930537; 1721089494930.537;  -0.084
2024-07-16 09:24:54.931538; 1721089494931.538;  -0.084
2024-07-16 09:24:54.932538; 1721089494932.538;  -0.084
2024-07-16 09:24:54.933538; 1721089494933.538;  -0.084
2024-07-16 09:24:54.934538; 1721089494934.538;  -0.084
2024-07-16 09:24:54.935539; 1721089494935.539;  -0.084
2024-07-16 09:24:54.936539; 1721089494936.539;  -0.084
2024-07-16 09:24:54.937539; 1721089494937.539;  -0.084
2024-07-16 09:24:54.938539; 1721089494938.539;  -0.081
2024-07-16 09:24:54.939539; 1721089494939.539;  -0.081
2024-07-16 09:24:54.940539; 1721089494940.539;  -0.081
2024-07-16 09:24:54.941539; 1721089494941.539;  -0.081
2024-07-16 09:24:54.942539; 1721089494942.539;  -0.081
2024-07-16 09:24:54.943539; 1721089494943.539;  -0.078
2024-07-16 09:24:54.944539; 1721089494944.539;  -0.078
2024-07-16 09:24:54.945539; 1721089494945.539;  -0.078
2024-07-16 09:24:54.946539; 1721089494946.539;  -0.078
2024-07-16 09:24:54.947540; 1721089494947.540;  -0.078
2024-07-16 09:24:54.948540; 1721089494948.540;  -0.075
2024-07-16 09:24:54.949540; 1721089494949.540;  -0.075
2024-07-16 09:24:54.950540; 1721089494950.540;  -0.075
2024-07-16 09:24:54.951540; 1721089494951.541;  -0.075
2024-07-16 09:24:54.952541; 1721089494952.541;  -0.075
2024-07-16 09:24:54.953541; 1721089494953.541;  -0.075
2024-07-16 09:24:54.954541; 1721089494954.541;  -0.072
2024-07-16 09:24:54.955541; 1721089494955.541;  -0.072
2024-07-16 09:24:54.956541; 1721089494956.541;  -0.072
2024-07-16 09:24:54.957541; 1721089494957.541;  -0.072
2024-07-16 09:24:54.958541; 1721089494958.541;  -0.072
2024-07-16 09:24:54.959541; 1721089494959.541;  -0.072
2024-07-16 09:24:54.960541; 1721089494960.541;  -0.072
2024-07-16 09:24:54.961541; 1721089494961.541;  -0.068
2024-07-16 09:24:54.962541; 1721089494962.541;  -0.065
2024-07-16 09:24:54.963541; 1721089494963.542;  -0.065
2024-07-16 09:24:54.964542; 1721089494964.542;  -0.065
2024-07-16 09:24:54.965542; 1721089494965.542;  -0.065
2024-07-16 09:24:54.966542; 1721089494966.542;  -0.062
2024-07-16 09:24:54.967542; 1721089494967.542;  -0.062
2024-07-16 09:24:54.968543; 1721089494968.543;  -0.062
2024-07-16 09:24:54.969543; 1721089494969.543;  -0.062
2024-07-16 09:24:54.970543; 1721089494970.543;  -0.059
2024-07-16 09:24:54.971544; 1721089494971.543;  -0.059
2024-07-16 09:24:54.972544; 1721089494972.544;  -0.059
2024-07-16 09:24:54.973544; 1721089494973.544;  -0.059
